"Recalls, Market Withdrawals, & Safety Alerts | FDA",,,,,
Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
03/19/2020,Performance Dog,frozen raw pet food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella.,"Bravo Packing, Inc."
03/06/2018,Tucker's,5lb Pork-Bison Box,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,"Raw Basics, LLC"
03/01/2018,Blue Ridge Beef,Raw pet food for cats,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Due to Possible Salmonella and L. Mono Contamination,Name Blue Ridge Beef
02/16/2018,Smokehouse,Dog treats,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,"Smokehouse Pet Products, Inc."
02/15/2018,Smokehouse,Dog treats,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,"Smokehouse Pet Products, Inc."
02/08/2018,"9LivesTM, EverPetTM, and Special KittyTM",Canned cat food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food",Possible low levels of thiamine (Vitamin B1),J.M. Smucker Company
04/07/2020,K9 Natural,Pet food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,K9 Natural Ltd
03/24/2020,Rad Cat,Raw Diet Cat Food (Free Range Chicken; Pasture-Raised Venison),"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,"Radagast Pet Food, Inc."
03/23/2020,"G & C Raw, more",Ground Lamb Dog Food and Ground Turkey Cat Food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,G & C Raw LLC
03/20/2020,Rad Cat,Rad Cat Raw Diet,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,"Radagast Pet Food, Inc."
03/07/2018,Redbarn,Dog Chews,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Salmonella,Redbarn Pet Products
03/02/2018,Steve’s Real Foods,Raw frozen dog food turkey canine recipe,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Salmonella,Steve’s Real Foods
02/18/2018,Northwest Naturals,Dog food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Northwest Naturals
02/09/2018,Raws for Paws,Ground turkey pet food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Salmonella,Raws for Paws
01/22/2018,JustFoodForDogs,Dog Food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,JustFoodForDogs
02/08/2018,"Barnsdale Farms®, HoundsTooth® and Mac's Choice®",Dog treat- Pig Ears,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pork/Pork Product, Pet Food",Salmonella,EuroCan Manufacturing
08/24/2020,Nature’s Menu,Nature’s Menu Super Premium Dog Food with a Blend of Real Chicken & Quail,"Animal & Veterinary, Food & Beverages, Pet Food",Salmonella,"Sunshine Mills, Inc."
03/27/2020,"Castor & Pollux, Merrick",_Beef dog treat varieties,"Animal & Veterinary, Food & Beverages, Pet Food",Ingredient Level,Merrick Pet Care
03/25/2020,Dave’s Pet Food,_95% Premium beef cans,"Animal & Veterinary, Food & Beverages, Pet Food",Due to Potentially Elevated Levels of Thyroid Hormone,Dave’s Pet Food
03/16/2020,"Evolve, Sportsman's Pride, and Triumph",Dry Dog Food,"Animal & Veterinary, Food & Beverages, Pet Food",Potentially Elevated Levels of Vitamin D,Sunshine Mills Inc.
02/04/2020,NutreBeef,NutreBeef Transition Pellet (MH),"Animal & Veterinary, Food & Beverages, Pet Food",May Contain Elevated levels of Monensin,Cargill Incorporated
02/08/2018,Cocolicious,Beef & Turkey Dog Food,"Animal & Veterinary, Food & Beverages, Pet Food",Presence of Pentobarbital,Party Animal
03/11/2020,Abound,Chicken & Brown Rice Recipe dog food,"Animal & Veterinary, Food & Beverages, Pet Food, Animal Feed",Potentially Elevated Levels of Vitamin D,Abound
04/10/2020,"Redbarn, Chewy Louie, Dentley's, and Good Lovin'",Bully Stick dog food,"Animal & Veterinary, Food & Beverages, Pet Food, Foodborne Illness",Potential to be contaminated with Salmonella,"Redbarn Pet Products, LLC"
03/23/2020,Icelandic+,Whole Capelin Fish Pet Treats,"Animal & Veterinary, Food & Beverages, Pet Food, Foodborne Illness",Potential for Clostridium botulinum,IcelandicPlus LLC
03/11/2020,Columbia River Natural Pet Foods,Dog and Cat fresh frozen meats,"Animal & Veterinary, Food & Beverages, Pet Food, Foodborne Illness",Due to Possible Salmonella and L. Mono Contamination,Columbia River Natural Pet Foods
02/23/2018,TruDog,Dog food,"Animal & Veterinary, Food & Beverages, Pet Food, Foodborne Illness",Potential to be contaminated with Salmonella,"TruPet, LLC"
03/19/2020,"G & C Raw, Kim’s Special, Pat’s Cat",Raw dog and cat food,"Animal & Veterinary, Food & Beverages, Pet Food, Foodborne Illness, Animal Feed",Listeria,"G & C Raw, LLC"
03/11/2020,Columbia River Natural Pet Foods,Frozen meat product for dogs and cats,"Animal & Veterinary, Food & Beverages, Pet Food, Foodborne Illness, Animal Feed",Potential to be contaminated with Listeria monocytogenes,Columbia River Natural Pet Foods
10/08/2020,"Champ, Field Trial, Good Dog, and Others",Pet Food,"Animal & Veterinary, Food & Beverages, Pet Food, Ingredients",May Contain Aflatoxin,"Sunshine Mills, Inc."
09/02/2020,"Family Pet, Heartland Farms, Paws Happy Life",Dog Food,"Animal & Veterinary, Food & Beverages, Pet Food, Ingredients",Elevated levels of aflatoxin,"Sunshine Mills, Inc."
04/07/2020,Back to Health and Healthy Home Center Inc.,pre-workout dietary supplements,"Dietary Supplements, Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Independent Nutrition Inc. dba Back to Health
01/25/2018,Bulletproof,Collagen Protein Dietary Supplement,"Dietary Supplements, Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Bulletproof 360, Inc."
03/24/2020,Prescript-Assist,Probiotic and prebiotic dietary supplement,"Dietary Supplements, Food & Beverages, Allergens, Food & Beverage Safety, Nutritional Supplement","Undeclared allergens, including almonds, crustaceans, milk, casein, eggs, and peanuts","LL’s Magnetic Clay, Inc."
03/24/2020,Prescript-Assist,Probiotic & Prebiotic Dietary Supplement,"Dietary Supplements, Food & Beverages, Allergens, Food & Beverage Safety, Nutritional Supplement","Undeclared allergens, including almonds, crustaceans, milk, casein, eggs, and peanuts","LL’s Magnetic Clay, Inc."
04/07/2020,Club 13,Kratom Maeng Da Red,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be Contaminated with Salmonella,Club 13
01/21/2018,Arthri-D,Dietary Supplement,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,"Arthri-D, LLC"
08/15/2018,Zakah Life,Kratom Containing Products,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Meal Replacements, Protein Supplement",Salmonella,"Zakah Life, LLC"
04/09/2020,"Kraken Kratom, Phytoextractum, & Soul Speciosa",White vein powder & capsule red vein powder products,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Nutritional Supplement, Foodborne Illness",Potential to be contaminated with Salmonella,PDX Aromatics
04/07/2020,Eclipse,Eclipse Kratom-containing powder products,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Nutritional Supplement, Foodborne Illness",Salmonella,Tamarack Inc.
03/18/2020,Mountain Rose Herbs,Organic Kudzu Root Herbal Supplement,"Dietary Supplements, Food & Beverages, Herbal , Foodborne Illness",Potential to be contaminated with Salmonella,Mountain Rose Herbs
02/03/2020,Nopalina,Flax Seed Fiber Powder and Capsules,"Dietary Supplements, Food & Beverages, Nutritional Supplement, Foodborne Illness",Potential for Salmonella,Salud Natural Entrepreneur Inc
02/08/2018,Synergy Rx Pharmacy,Non-sterile drug products,"Drugs, Food & Beverages,",Lack of Quality Assurance,Synergy Rx Pharmacy
02/06/2018,Caverflo,Natural Herbal Coffee,"Drugs, Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Active Pharmaceutical Ingredients and Undeclared Milk,Caverflo.com
02/08/2018,Edex,Alprostadil for injection,"Drugs, Food & Beverages, Generic Drugs",Potential Lack of Sterility Assurance,Endo Pharmaceuticals Inc.
02/06/2018,Centurion,Ninjacof and Ninjacof A,"Drugs, Food & Beverages, Generic Drugs",Potential contamination with Burkholderia cepacia,Centurion Labs
10/30/2020,Homestead Creamery,Lemonade half gallon,"Food & Beverages,",Potential for residual chlorine from the sanitizing process,Homestead Creamery
10/29/2020,J&O,Mixed Veggie Cup with Dip,"Food & Beverages,",Undeclared egg,Russ Davis Wholesale
10/28/2020,Whole Foods Market,Macaroni and Cheese products,"Food & Beverages,",Undeclared egg,Whole Foods Market
10/14/2020,Eishindo,Jelly Cups,"Food & Beverages,",Product poses a choking hazard.,"Hadson Toko Trading Co., Inc."
10/13/2020,"Cost Plus World Market, Great Value, O Organics, Full Circle",Parsley and Herbes De Provence,"Food & Beverages,",Salmonella,"Red Monkey Foods, Inc."
10/12/2020,The Spice Hunter,Spices and blends,"Food & Beverages,",Salmonella,"Sauer Brands, Inc."
10/05/2020,"Seneca, Clancy’s",Seneca Cinnamon Apple Chips and Clancy’s Cinnamon Apple Chips,"Food & Beverages,",Possible Salmonella contamination,Seneca Snack Company
10/03/2020,Walmart,"Cut or sliced apples, grapes, mangoes, pineapples, and cantaloupe","Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,Country Fresh
10/01/2020,"Walmart, RaceTrac",Watermelon Chunks,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,Country Fresh
09/23/2020,Shirakiku,Dried Fungus (also known a Black Fungus or Kikurage),"Food & Beverages,",Product has the potential to be contaminated with Salmonella,"Wismettac Asian Foods, Inc."
09/21/2020,Homestead Creamery,Chocolate Ice Cream,"Food & Beverages,",Undeclared pecans,Homestead Creamer
09/10/2020,Pretty Thai,Pretty Thai Sweat Chili Sauce,"Food & Beverages,",May contain Pretty Thai Peanut Sauce,Pretty Thai
09/03/2020,Fresco,Ancient Grain Jackfruit Bowl,"Food & Beverages,",Due to undeclared fish,"Fresco Foods, Inc."
08/26/2020,Schaws Sauce,Sweet and Sassy Barbecue and Basting Sauce & Sweet with Heat Barbecue and Basting Sauce,"Food & Beverages,",Undeclared soy and anchovies,Schaws Sauce
08/26/2020,Ronzoni,Smart Taste Extra Wide Noodle,"Food & Beverages,",Undeclared egg.,RIVIANA FOODS INC.
08/26/2020,Back to Nature,Organic Rosemary & Olive Oil Stoneground Wheat Crackers,"Food & Beverages,",Undeclared milk,B&G Foods
08/25/2020,Hostess,Raspberry Zingers,"Food & Beverages,",Potential to contain mold,Hostess Brands LLC
08/25/2020,Crazy Fresh and Quick & Easy an Unbranded and Bountiful Fresh gift baskets,Peach Salsa and Gift Baskets,"Food & Beverages,",Potential for Salmonella contamination,Russ Davis Wholesale
08/22/2020,"Wawona, Prima, Kroger, Organic Marketside, and Wegmans",Peaches,"Food & Beverages,",Potential Salmonella contamination,Prima Wawona
08/22/2020,Wegmans and Wawona,Peaches and peach containing products,"Food & Beverages,",Product has the potential to be contaminated with Salmonella,Wegmans Food Markets
08/21/2020,"Wawona, Prima, Kroger, Organic Marketside, and Wegmans",Bagged Peaches,"Food & Beverages,",Potential Salmonella contamination,Prima Wawona
08/21/2020,Ruffles,Original Potato Chips,"Food & Beverages,",Undeclared Milk,Frito-Lay
08/20/2020,Wawona and Organic,Assorted Peaches (Loose Bulk and Packaged),"Food & Beverages,",Potential Salmonella enteritidis,Aldi
08/20/2020,Southern Grove,Mixed Nuts Less than 50% Peanuts,"Food & Beverages,",Undeclared brazil nuts,Superior Nut Company
08/12/2020,Lund’s and Byerly’s,sea salt caramels,"Food & Beverages,",Undeclared almonds,Abdallah Candies
08/12/2020,"MURRAY'S, JARLSBERG, DELI",Cheese Dip,"Food & Beverages,",Potential for Salmonella,Kroger Delta Division
08/12/2020,"MURRAY'S, JARLSBERG, DELI",Cheese Dip,"Food & Beverages,",Potential for Salmonella,Kroger Mid-Atlantic
08/12/2020,"MURRAY'S, JARLSBERG, DELI",Cheese Dip,"Food & Beverages,",Potential for Salmonella,Kroger
08/12/2020,"MURRAY'S, JARLSBERG, DELI",Cheese Dip,"Food & Beverages,",Potential for Salmonella,Fred Meyer Stores
08/12/2020,"MURRAY'S, JARLSBERG, DELI",Cheese Dip,"Food & Beverages,",Potential for Salmonella,Fry’s Food Stores
08/12/2020,"MURRAY'S, JARLSBERG, DELI",Cheese Dip,"Food & Beverages,",Potential for Salmonella,Smith's
08/11/2020,"Saddlin' Up, Spokane Produce",Salsa,"Food & Beverages,",Salmonella,"Spokane Produce, Inc."
08/10/2020,Progressive Produce LLC,Red and yellow onions,"Food & Beverages,",Potential to be contaminated with Salmonella,Progressive Produce LLC
08/09/2020,Wegmans,"Valencia Oranges, two-pound bag of lemons, bulk lemons, and a variety of in-store produced seafood and restaurant foods items that contain fresh lemon","Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"Wegmans Food Markets, Inc."
08/09/2020,"Freshouse, Natures Promise, Fresh From the Start, Wegmans","Valencia Oranges, Lemons, Limes, Organic Limes, and Red B Potatoes","Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"Freshouse II, LLC"
08/07/2020,Haven’s Kitchen,Golden Turmeric Tahini,"Food & Beverages,",Undeclared soy,Haven’s Kitchen
08/06/2020,"Taylor Farms, Marketside","Diced onions, salads, stir fry and mirepoix","Food & Beverages,",Salmonella,Taylor Farms Texas
08/06/2020,Giant Eagle,Onions and prepared products containing onions,"Food & Beverages,",Salmonella,Giant Eagle
08/04/2020,H-E-B,Blue Cheese Salmon Burgers,"Food & Beverages,",Undeclared wheat,H-E-B
07/25/2020,Wellements,Iron Drops liquid Dietary Supplement and Iron Drops Sample liquid Dietary Supplement,"Food & Beverages,",Undeclared Milk,Wellements LLC
07/24/2020,UpSpring,"""UpSpring Baby Iron + Immunity"" dietary supplements","Food & Beverages,",Undeclared Milk,UpSpring LLC
07/24/2020,Whole Foods,Kouign-amann pastries,"Food & Beverages,",Undeclared Egg,Whole Foods Market
07/24/2020,Whole Foods,Chantilly Key Lime Tartlets,"Food & Beverages,",Undeclared almond,Whole Foods Market
07/21/2020,Hostess,Raspberry Zingers,"Food & Beverages,",Potential to contain mold,Hostess Brands LLC
06/30/2020,Garland Ventures Ltd.,Five Cheese Stuffed Shells,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,Garland Ventures Ltd.
06/29/2020,"Fresh Express, Giant Eagle and more","Old fashioned coleslaw, 3 color deli coleslaw and more","Food & Beverages,",Possible Cyclospora Contamination,Fresh Express
06/26/2020,Marketside,Classic Iceberg Salad,"Food & Beverages,",Possible Cyclospora Contamination,Fresh Express
06/23/2020,Golden Nutrition Inc.,Anti-Viral Immune Enhancement Capsules,"Food & Beverages,",Unsubstantiated Health Claims on Label,Golden Nutrition Inc.
06/22/2020,Flagstone Foods LLC,North Star Sweet & Salty Caramel Trail Mix,"Food & Beverages,",Undeclared Cashews,Flagstone Foods LLC
06/22/2020,Hy-Vee Inc.,"Garden Salad, Bagged","Food & Beverages,",Potential Cyclospora Contamination,Hy-Vee Inc.
06/19/2020,Hill Country Fare,"Pink Lemonade, Citrus Punch, Fruit Drink and Grape Drink","Food & Beverages,",Undeclared Milk,H-E-B
06/11/2020,Xi Zhi Liang,Konjac powder jelly cups,"Food & Beverages,",Potential choking hazard,Rong Shing Trading NY Inc.
05/26/2020,Johnson Sea Products,Crab cakes,"Food & Beverages,",Undeclared wheat and soy,Johnson Sea Products
05/15/2020,Wegmans,Semi-Sweet Chocolate nonpareils,"Food & Beverages,",Undeclared Milk,MELLACE FAMILY BRANDS CALIFORNIA INC.
05/08/2020,Pluckers World Famous Wing Sauce,Bottled Wing Sauces,"Food & Beverages,","Undeclared Allergens (Milk, Soy, and/or Wheat)","Zilk's Plus Resources, LLC"
05/05/2020,The Essential Baking Company,Sliced Columbia Bread,"Food & Beverages,",Undeclared Egg,The Essential Baking Company
05/01/2020,Nabisco,Ritz crackers,"Food & Beverages,",Undeclared peanut,Mondelez Global LLC
04/28/2020,Benefiber,Prebiotic Fiber Supplement,"Food & Beverages,",Potential for plastic pieces or shavings,GSK Consumer Healthcare
04/21/2020,Ocean Spray,Pink Lite Cranberry Juice Drink,"Food & Beverages,",Undeclared Sulfites,"Ocean Spray Cranberries, Inc."
04/21/2020,"Buckhead Meat and Seafood of Houston, Inc.",Frozen Flounder Stuffed with Seafood,"Food & Beverages,","Undeclared wheat, soy, milk, fish, and eggs","Buckhead Meat and Seafood of Houston, Inc., a Sysco Company"
04/16/2020,Whole Foods Market,Queso Sauce,"Food & Beverages,",Undeclared cashews,Whole Foods Market
04/14/2020,Sun Hong Foods,Enoki Mushrooms,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"Sun Hong Foods, Inc."
04/13/2020,"DSD Merchandisers, Inc.",Roasted/Salted Deluxe Mixed Nuts,"Food & Beverages,",Undeclared peanut,"DSD Merchandisers, Inc."
04/10/2020,Whole Foods Market,Minestrone Soup,"Food & Beverages,",Undeclared milk,Whole Foods Market
03/26/2020,Whole Foods Market,Vodka Sauce,"Food & Beverages,",Undeclared Milk,"Winter Gardens Quality Foods, Inc."
03/13/2020,WinCo,Frozen Blackberries and Frozen Berry Medley,"Food & Beverages,",Norovirus,"WinCo Foods, LLC"
03/11/2020,Pero Family Farms,Zucchini Spiral Pesto Side Dish Kit,"Food & Beverages,",Undeclared egg and milk,"Pero Family Farms Food Company, LLC"
03/10/2020,Meijer,Mixed Nuts,"Food & Beverages,",Undeclared Brazil nuts,Meijer
03/06/2020,HEB,"Salad Kit, Tuscan Herb","Food & Beverages,","Undeclared peanut, wheat, soy & tree nuts","Dole Fresh Vegetables, Inc."
03/05/2020,Vita,Wild Herring In Wine Sauce,"Food & Beverages,",Undeclared Milk,"Vita Food Products, Inc."
03/05/2020,Stonewall Kitchen,Ghost Pepper Salsa,"Food & Beverages,",Undeclared Milk and Soy,"Stonewall Kitchen, LLC"
03/03/2020,Whole Foods Market,Green Chile Chicken Tamales,"Food & Beverages,",Undeclared Milk,Whole Foods Market
03/03/2020,ReStructure,Vanilla Protein Powder,"Food & Beverages,",Undeclared Milk,"New Capstone, Inc."
02/27/2020,Premier Choice,3 lb. tub Peanut Butter Cookie Dough,"Food & Beverages,",Undeclared milk,"Choice Products USA, LLC"
02/20/2020,Natural Grocers,Almond clusters dark chocolate Non GMO,"Food & Beverages,",Undeclared peanuts and undeclared milk,"Vitamin Cottage Natural Food Markets, Inc."
02/20/2020,Natural Grocers,Peanut clusters dark chocolate Non GMO,"Food & Beverages,",Undeclared almonds and undeclared milk,"Vitamin Cottage Natural Food Markets, Inc."
02/19/2020,Kroger,Sweet & Mesquite BBQ Potato Chips,"Food & Beverages,",Undeclared milk,"Saratoga Potato Chips, LLC"
02/15/2020,Annie Chun’s,Japanese-Style Teriyaki Noodle Bowls,"Food & Beverages,",Undeclared peanuts,"CJ Foods, Inc."
02/13/2020,Coburn Farms,"Coburn Farms 4.5oz Sharp Yellow Cheddar Cheese, Cherry Juice-Infused Dried Cranberries & Roasted Sea Salted Cashews Snackers","Food & Beverages,",Undeclared peanut,Save A Lot
02/12/2020,LOTTE,"Chocopie (original, banana, and cacao)","Food & Beverages,",Undeclared almonds,Lotte Int’l America Corp.
02/07/2020,Nuts ‘N More LLC,Plain Peanut Spread,"Food & Beverages,","Potential contamination with Listeria sp,",Nuts ‘N More LLC
02/06/2020,New Seasons Market,Grab N’ Go Vegetarian Lasagna w/Gluten Free Pasta,"Food & Beverages,",Undeclared Soy,New Seasons Market
02/04/2020,Whole Foods Market,Bundt Cake and Chocolate Dipped Cookies,"Food & Beverages,",Undeclared milk,Whole Foods Market
01/29/2020,Beepa’s,Goulash starter,"Food & Beverages,",Undeclared milk,Beepa’s
01/29/2020,Nopalina,Nopalina Flax Seed Fiber (powder) and Nopalina Flax Seed Fiber (capsule) products,"Food & Beverages,",Potential to be contaminated with Salmonella,"Salud Natural Entrepreneur, Inc."
01/13/2020,"Premo,& Fresh Grab",Sandwiches,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"Lipari Foods, LLC"
01/06/2020,purely elizabeth,Chocolate Sea Salt Probiotic Granola,"Food & Beverages,",Undeclared walnuts,purely elizabeth
01/06/2020,"Premo, Fresh Grab",Wedge Sandwiches,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"Lipari Foods, LLC"
12/31/2019,Sienna Bakery,Chocolate Turtle Brownie,"Food & Beverages,",May contain undeclared peanuts,Dianne’s Fine Desserts
12/31/2019,MiniMeal2Go,Protein pack and avocado toast,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,FiveStar Gourmet Foods
12/20/2019,Esmea,Sesame tahini,"Food & Beverages,",Product has the potential to be contaminated with Salmonella,Esmea Foods
12/20/2019,"Almark, Nic’s, Rainbow Farms, Sutherland’s, Egggs Select",Hard cooked broken egg whites & hard cooked eggs,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,Almark Foods
12/03/2019,"President’s Choice, Marketside",Colorful Coleslaw,"Food & Beverages,",Potential Salmonella Contamination,"Dole Fresh Vegetables, Inc."
11/27/2019,Hodgson Mill,Unbleached Flour,"Food & Beverages,",Potential E. Coli Contamination,"Hodgson Mill, Inc."
11/27/2019,Wild Harvest,Organic All-Purpose Flour,"Food & Beverages,",Potential E.coli Contamination,UNFI
11/27/2019,Okami & Trader Joes,"Ready to eat sushi, salads and spring rolls","Food & Beverages,",Potential Listeria monocytogenes Contamination,"Fuji Food Products, Inc."
11/22/2019,Whole Foods Market,Raspberry Cheesecake Italian Gelato,"Food & Beverages,",Undeclared egg,Whole Foods Market
11/21/2019,Tainy Vostoka,Dried Fruit Mix,"Food & Beverages,",Undeclared sulfites,Euroline Foods LLC
11/20/2019,Nabisco,Cheese Nips,"Food & Beverages,",Potential presence of plastic,Mondel_z Global LLC
11/15/2019,Breakstone’s,Cottage Cheese,"Food & Beverages,",Potential presence of plastic and metal,Kraft Heinz Foods Company
11/13/2019,Natural Grocers,Organic Soybeans,"Food & Beverages,",Potential to contain mold,"Vitamin Cottage Natural Food Markets, Inc."
11/11/2019,Fresh Seasons Kitchen,Veggie & Ranch Cups with cauliflower,"Food & Beverages,",Due to the potential risk of Listeria monocytogenes,"Taher, Inc."
11/08/2019,"Crazy Fresh, quick & easy, no brand name listed",Various fresh vegetables,"Food & Beverages,",Listeria monocytogenes,Russ Davis Wholesale
11/06/2019,Mill Stream Corp.,Cold Smoked Salmon,"Food & Beverages,",Clostridium botulinum,Mill Stream Corp.
11/06/2019,Whole Foods Market,Multiple Products,"Food & Beverages,",Listeria monocytogenes,Whole Foods Market
11/05/2019,Meijer,Vegetable Trays & Broccoli florets,"Food & Beverages,",Listeria monocytogenes,Meijer
11/05/2019,Keshav and Swan Brands,Dried dates,"Food & Beverages,",Undeclared sulfites,Peekay International Inc.
11/03/2019,"Mann, various private brands",Various vegetable products,"Food & Beverages,",Potential contamination with Listeria monocytogenes,"Mann Packing Co., Inc."
11/01/2019,King Arthur Flour,Unbleached All-Purpose Flour,"Food & Beverages,",E. coli O26,"King Arthur Flour, Inc."
10/31/2019,Nestle,Ready-to-bake refrigerated cookie dough products,"Food & Beverages,",Due to the potential presence of food-grade rubber pieces,"Nestle USA, Inc."
10/28/2019,"Great Lakes, more",Fresh apples varieties:,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"North Bay Produce, Inc."
10/23/2019,SWAN and KESHAV,DRY APRICOTS,"Food & Beverages,",Undeclared Sulfites,Peekay International Inc.
10/14/2019,Samurai,Furikake Popcorn,"Food & Beverages,",Undeclared fish,"Samurai, Inc."
10/10/2019,"Carolyn’s Cookie Company, Country Baking Co.",Frozen and refrigerated cookie dough products,"Food & Beverages,",Undeclared peanuts and walnuts,California New Foods
10/09/2019,Whole Foods Market,White Parkerhouse Rolls,"Food & Beverages,",Undeclared milk and egg,Whole Foods Market
10/09/2019,Tuscan Sun,Chicken salad sandwiches,"Food & Beverages,",Potential contamination with Listeria monocytogenes,Jumbo Foods Inc.
10/03/2019,Ample Hills Creamery,Peppermint Pattie Ice Cream,"Food & Beverages,",Undeclared peanut,Ample Hills Manufacturing
10/02/2019,Distributed by: Super World Trading Inc.,Dried Date,"Food & Beverages,",Sulfites,Super World Trading Inc.
10/02/2019,CAPITAN K,Salmon slightly salted piece,"Food & Beverages,",Listeria monocytogenes,Euphoria Fancy Food Inc.
